,id,year_birth,education,marital_status,income,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,mnt_total_sin_vino,mntwines_sin_cero,mnt_wines_box
0,5524,1957,Graduation,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,982,635.0,14.026739533392123
1,2174,1954,Graduation,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,16,11.0,3.141177513258352
2,4141,1965,Graduation,Together,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,350,426.0,12.485974798217713
3,6182,1984,Graduation,Together,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,42,11.0,3.141177513258352
4,5324,1981,PhD,Married,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,249,173.0,9.459458016185025
5,7446,1967,Master,Together,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,196,520.0,13.238975728478811
6,965,1971,Graduation,Divorced,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,355,235.0,10.422822683089166
7,6177,1985,PhD,Married,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,93,76.0,7.166556190957035
8,4855,1974,PhD,Together,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,32,14.0,3.55661921042866
9,5899,1950,PhD,Together,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,21,28.0,4.878483258254172
10,1994,1983,Graduation,Married,51381.5,1,0,11,5,5,6,0,2,1,1,1,0,2,7,14,5.0,1.9244818756988418
11,387,1976,Basic,Married,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,55,6.0,2.1877070981936266
12,2125,1959,Graduation,Divorced,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,908,194.0,9.812359298318894
13,8180,1952,Master,Divorced,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,77,233.0,10.39506714931303
